locus_tag	ftype	length_bp	gene	EC_number	COG	product
NOLKDBPD_00001	CDS	660	cat	2.3.1.28		Chloramphenicol acetyltransferase
NOLKDBPD_00002	tRNA	77				tRNA-Ile(gat)
NOLKDBPD_00003	tRNA	76				tRNA-Ala(tgc)
NOLKDBPD_00004	tRNA	76				tRNA-Ala(tgc)
NOLKDBPD_00005	tRNA	77				tRNA-Ile(gat)
NOLKDBPD_00006	CDS	585				hypothetical protein
NOLKDBPD_00007	tRNA	76				tRNA-Glu(ttc)
NOLKDBPD_00008	CDS	372				hypothetical protein
NOLKDBPD_00009	CDS	132				hypothetical protein
NOLKDBPD_00010	CDS	132				hypothetical protein
NOLKDBPD_00011	CDS	132				hypothetical protein
NOLKDBPD_00012	CDS	132				hypothetical protein
NOLKDBPD_00013	CDS	132				hypothetical protein
NOLKDBPD_00014	CDS	120				hypothetical protein
NOLKDBPD_00015	CDS	843				hypothetical protein
NOLKDBPD_00016	CDS	459	ccmH		COG3088	Cytochrome c-type biogenesis protein CcmH
NOLKDBPD_00017	CDS	555	dsbE		COG0526	Thiol:disulfide interchange protein DsbE
NOLKDBPD_00018	CDS	1953	ccmF		COG1138	Cytochrome c-type biogenesis protein CcmF
NOLKDBPD_00019	CDS	459	ccmE		COG2332	Cytochrome c-type biogenesis protein CcmE
NOLKDBPD_00020	CDS	231				hypothetical protein
NOLKDBPD_00021	CDS	738	ccmC		COG0755	Heme exporter protein C
NOLKDBPD_00022	CDS	657	ccmB		COG2386	Heme exporter protein B
NOLKDBPD_00023	CDS	624	ccmA	7.6.2.5	COG4133	Cytochrome c biogenesis ATP-binding export protein CcmA
NOLKDBPD_00024	CDS	1338		1.1.99.3		Gluconate 2-dehydrogenase cytochrome c subunit
NOLKDBPD_00025	CDS	1785		1.1.99.3		Gluconate 2-dehydrogenase flavoprotein
NOLKDBPD_00026	CDS	756		1.1.99.3		Gluconate 2-dehydrogenase subunit 3
NOLKDBPD_00027	CDS	372				hypothetical protein
NOLKDBPD_00028	CDS	684				hypothetical protein
NOLKDBPD_00029	CDS	1116				hypothetical protein
	repeat_region	708				
NOLKDBPD_00030	CDS	288				hypothetical protein
NOLKDBPD_00031	CDS	876	ygbT	3.1.-.-	COG1518	CRISPR-associated endonuclease Cas1
NOLKDBPD_00032	CDS	717				hypothetical protein
NOLKDBPD_00033	CDS	1035	casC			CRISPR system Cascade subunit CasC
NOLKDBPD_00034	CDS	648	cse3	3.1.-.-		CRISPR-associated endoribonuclease Cse3
NOLKDBPD_00035	CDS	567				hypothetical protein
NOLKDBPD_00036	CDS	1524				hypothetical protein
NOLKDBPD_00037	CDS	2616				hypothetical protein
	repeat_region	578				
NOLKDBPD_00038	CDS	1071	potA_1	7.6.2.11	COG3842	Spermidine/putrescine import ATP-binding protein PotA
NOLKDBPD_00039	CDS	1770				hypothetical protein
NOLKDBPD_00040	CDS	1089				hypothetical protein
NOLKDBPD_00041	CDS	1080	hcxB	1.1.1.-	COG2055	Hydroxycarboxylate dehydrogenase B
NOLKDBPD_00042	CDS	2151	fdhF_1	1.17.1.9	COG0243	Formate dehydrogenase H
NOLKDBPD_00043	CDS	1158	hipO_1	3.5.1.32	COG1473	Hippurate hydrolase
NOLKDBPD_00044	CDS	1200	ycaD_1			putative MFS-type transporter YcaD
NOLKDBPD_00045	CDS	435				hypothetical protein
NOLKDBPD_00046	CDS	1233	mdtM_1			Multidrug resistance protein MdtM
NOLKDBPD_00047	CDS	393				hypothetical protein
NOLKDBPD_00048	CDS	615				hypothetical protein
NOLKDBPD_00049	CDS	723	glnQ_1			Glutamine transport ATP-binding protein GlnQ
NOLKDBPD_00050	CDS	765	artQ_1		COG0765	Arginine transport system permease protein ArtQ
NOLKDBPD_00051	CDS	768	glnH_1		COG0834	Glutamine-binding periplasmic protein
NOLKDBPD_00052	CDS	903				hypothetical protein
NOLKDBPD_00053	CDS	954				hypothetical protein
NOLKDBPD_00054	CDS	213	yfhA		COG0609	putative siderophore transport system permease protein YfhA
NOLKDBPD_00055	CDS	264				IS3 family transposase ISKpn11
NOLKDBPD_00056	CDS	132				hypothetical protein
NOLKDBPD_00057	CDS	132				hypothetical protein
NOLKDBPD_00058	CDS	132				hypothetical protein
NOLKDBPD_00059	CDS	132				hypothetical protein
NOLKDBPD_00060	CDS	132				hypothetical protein
NOLKDBPD_00061	CDS	132				hypothetical protein
NOLKDBPD_00062	CDS	132				hypothetical protein
NOLKDBPD_00063	rRNA	655				16S ribosomal RNA (partial)
NOLKDBPD_00064	CDS	210				hypothetical protein
NOLKDBPD_00065	CDS	2487				hypothetical protein
NOLKDBPD_00066	CDS	1698	ompA_1			Outer membrane protein A
NOLKDBPD_00067	CDS	654				hypothetical protein
NOLKDBPD_00068	CDS	1341				hypothetical protein
NOLKDBPD_00069	CDS	330				hypothetical protein
NOLKDBPD_00070	CDS	540				hypothetical protein
NOLKDBPD_00071	CDS	768	rluA_1	5.4.99.28	COG0564	Dual-specificity RNA pseudouridine synthase RluA
NOLKDBPD_00072	CDS	483				hypothetical protein
NOLKDBPD_00073	CDS	900	cynR_1			HTH-type transcriptional regulator CynR
NOLKDBPD_00074	CDS	807	ais	5.3.3.7		Aconitate isomerase
NOLKDBPD_00075	CDS	1296	kgtP_1			Alpha-ketoglutarate permease
NOLKDBPD_00076	CDS	927	pcpR_1			PCP degradation transcriptional activation protein
NOLKDBPD_00077	CDS	477				hypothetical protein
