locus_tag	ftype	length_bp	gene	EC_number	COG	product
OBENKMEN_00001	CDS	399	mqsA		COG1396	Antitoxin MqsA
OBENKMEN_00002	CDS	297	mqsR	3.1.-.-		mRNA interferase toxin MqsR
OBENKMEN_00003	CDS	363				hypothetical protein
OBENKMEN_00004	CDS	261				hypothetical protein
OBENKMEN_00005	CDS	309	xerC_1			Tyrosine recombinase XerC
OBENKMEN_00006	tRNA	76				tRNA-Phe(gaa)
OBENKMEN_00007	CDS	1149	adeP		COG2252	Adenine permease AdeP
OBENKMEN_00008	CDS	621				hypothetical protein
OBENKMEN_00009	CDS	282				hypothetical protein
OBENKMEN_00010	CDS	1200	fabV	1.3.1.9	COG3007	Enoyl-[acyl-carrier-protein] reductase [NADH]
OBENKMEN_00011	CDS	1365	mnmE	3.6.-.-	COG0486	tRNA modification GTPase MnmE
OBENKMEN_00012	CDS	1641	yidC			Membrane protein insertase YidC
OBENKMEN_00013	CDS	258	yidD		COG0759	Putative membrane protein insertion efficiency factor
OBENKMEN_00014	CDS	360	rnpA	3.1.26.5	COG0594	Ribonuclease P protein component
OBENKMEN_00015	CDS	141	rpmH		COG0230	50S ribosomal protein L34
OBENKMEN_00016	CDS	141				hypothetical protein
OBENKMEN_00017	CDS	1389	dnaA		COG0593	Chromosomal replication initiator protein DnaA
OBENKMEN_00018	CDS	1101	dnaN		COG0592	Beta sliding clamp
OBENKMEN_00019	CDS	1086	recF		COG1195	DNA replication and repair protein RecF
OBENKMEN_00020	CDS	2415	gyrB	5.6.2.2	COG0187	DNA gyrase subunit B
OBENKMEN_00021	CDS	810	yidA	3.1.3.23	COG0561	Sugar phosphatase YidA
OBENKMEN_00022	CDS	768				hypothetical protein
OBENKMEN_00023	CDS	297	dcuB_1		COG2704	Anaerobic C4-dicarboxylate transporter DcuB
OBENKMEN_00024	CDS	312	dcuB_2		COG2704	Anaerobic C4-dicarboxylate transporter DcuB
OBENKMEN_00025	CDS	465	dcuB_3		COG2704	Anaerobic C4-dicarboxylate transporter DcuB
OBENKMEN_00026	CDS	501				hypothetical protein
OBENKMEN_00027	CDS	1539				hypothetical protein
OBENKMEN_00028	CDS	1353				hypothetical protein
OBENKMEN_00029	CDS	687				hypothetical protein
OBENKMEN_00030	CDS	1737	pal_1			Peptidoglycan-associated lipoprotein
OBENKMEN_00031	CDS	486				hypothetical protein
OBENKMEN_00032	tRNA	76				tRNA-Thr(tgt)
OBENKMEN_00033	tRNA	85				tRNA-Tyr(gta)
OBENKMEN_00034	tRNA	75				tRNA-Gly(tcc)
OBENKMEN_00035	tRNA	76				tRNA-Thr(ggt)
OBENKMEN_00036	CDS	1185	tufB_1		COG0050	Elongation factor Tu 2
OBENKMEN_00037	CDS	384	secE		COG0690	Protein translocase subunit SecE
OBENKMEN_00038	CDS	546	nusG		COG0250	Transcription termination/antitermination protein NusG
OBENKMEN_00039	CDS	429	rplK		COG0080	50S ribosomal protein L11
OBENKMEN_00040	CDS	705	rplA		COG0081	50S ribosomal protein L1
OBENKMEN_00041	CDS	498	rplJ		COG0244	50S ribosomal protein L10
OBENKMEN_00042	CDS	369	rplL		COG0222	50S ribosomal protein L7/L12
OBENKMEN_00043	CDS	138				hypothetical protein
OBENKMEN_00044	CDS	4029	rpoB	2.7.7.6	COG0085	DNA-directed RNA polymerase subunit beta
OBENKMEN_00045	CDS	4221	rpoC	2.7.7.6	COG0086	DNA-directed RNA polymerase subunit beta'
OBENKMEN_00046	CDS	633	fkpA	5.2.1.8	COG0545	FKBP-type peptidyl-prolyl cis-trans isomerase FkpA
OBENKMEN_00047	CDS	723	dauR		COG2964	Transcriptional regulator DauR
OBENKMEN_00048	CDS	396	tusD	2.8.1.-	COG1553	Sulfurtransferase TusD
OBENKMEN_00049	CDS	366	tusC		COG2923	Protein TusC
OBENKMEN_00050	CDS	288	tusB		COG2168	Protein TusB
OBENKMEN_00051	CDS	375	rpsL		COG0048	30S ribosomal protein S12
OBENKMEN_00052	CDS	471	rpsG		COG0049	30S ribosomal protein S7
OBENKMEN_00053	CDS	2109	fusA		COG0480	Elongation factor G
OBENKMEN_00054	CDS	1185	tufB_2		COG0050	Elongation factor Tu 2
OBENKMEN_00055	CDS	924				hypothetical protein
OBENKMEN_00056	CDS	1710				hypothetical protein
OBENKMEN_00057	CDS	1419	xanP		COG2233	Xanthine permease XanP
OBENKMEN_00058	CDS	1215	gltS		COG0786	Sodium/glutamate symporter
OBENKMEN_00059	CDS	2082	recG	3.6.4.12	COG1200	ATP-dependent DNA helicase RecG
OBENKMEN_00060	CDS	660	trmH	2.1.1.34	COG0566	tRNA (guanosine(18)-2'-O)-methyltransferase
OBENKMEN_00061	CDS	2109	spoT		COG0317	Bifunctional (p)ppGpp synthase/hydrolase SpoT
OBENKMEN_00062	CDS	276	rpoZ	2.7.7.6	COG1758	DNA-directed RNA polymerase subunit omega
OBENKMEN_00063	CDS	624	gmk	2.7.4.8	COG0194	Guanylate kinase
OBENKMEN_00064	CDS	1704	ligB	6.5.1.2	COG0272	DNA ligase B
OBENKMEN_00065	CDS	624				hypothetical protein
OBENKMEN_00066	CDS	864				hypothetical protein
OBENKMEN_00067	CDS	717	rph	2.7.7.56		Ribonuclease PH
OBENKMEN_00068	CDS	648	pyrE_1	2.4.2.10	COG0461	Orotate phosphoribosyltransferase
OBENKMEN_00069	CDS	597	slmA		COG1309	Nucleoid occlusion factor SlmA
OBENKMEN_00070	CDS	459	dut	3.6.1.23	COG0756	Deoxyuridine 5'-triphosphate nucleotidohydrolase
OBENKMEN_00071	CDS	366				hypothetical protein
OBENKMEN_00072	CDS	255	xseB	3.1.11.6	COG1722	Exodeoxyribonuclease 7 small subunit
OBENKMEN_00073	CDS	921	ispA	2.5.1.10	COG0142	Farnesyl diphosphate synthase
