locus_tag	ftype	length_bp	gene	EC_number	COG	product
KJHEAMEG_00001	tRNA	76				tRNA-Ala(tgc)
KJHEAMEG_00002	rRNA	79				5S ribosomal RNA (partial)
KJHEAMEG_00003	tRNA	74				tRNA-Ala(tgc)
KJHEAMEG_00004	tRNA	77				tRNA-Ile(gat)
KJHEAMEG_00005	tRNA	77				tRNA-Ile(gat)
KJHEAMEG_00006	tRNA	77				tRNA-Arg(acg)
KJHEAMEG_00007	tRNA	74				tRNA-Ala(tgc)
KJHEAMEG_00008	tRNA	77				tRNA-Ile(gat)
KJHEAMEG_00009	tRNA	76				tRNA-Glu(ttc)
KJHEAMEG_00010	rRNA	456				16S ribosomal RNA (partial)
KJHEAMEG_00011	CDS	264				hypothetical protein
KJHEAMEG_00012	CDS	168				hypothetical protein
KJHEAMEG_00013	CDS	255				hypothetical protein
KJHEAMEG_00014	CDS	231				hypothetical protein
KJHEAMEG_00015	CDS	654				hypothetical protein
KJHEAMEG_00016	CDS	855				hypothetical protein
KJHEAMEG_00017	CDS	354				hypothetical protein
KJHEAMEG_00018	CDS	876	yebZ		COG1276	Inner membrane protein YebZ
KJHEAMEG_00019	CDS	375	yobA		COG2372	Protein YobA
KJHEAMEG_00020	CDS	231	holE	2.7.7.7		DNA polymerase III subunit theta
KJHEAMEG_00021	CDS	657				hypothetical protein
KJHEAMEG_00022	CDS	699	exoX	3.1.11.-	COG0847	Exodeoxyribonuclease 10
KJHEAMEG_00023	CDS	2052	ptrB	3.4.21.83	COG1770	Protease 2
KJHEAMEG_00024	CDS	660	yebE		COG2979	Inner membrane protein YebE
KJHEAMEG_00025	CDS	354	yebF			Protein YebF
KJHEAMEG_00026	CDS	291				hypothetical protein
KJHEAMEG_00027	CDS	1179	purT	2.1.2.-	COG0027	Formate-dependent phosphoribosylglycinamide formyltransferase
KJHEAMEG_00028	CDS	642	eda		COG0800	KHG/KDPG aldolase
KJHEAMEG_00029	CDS	1812	edd	4.2.1.12	COG0129	Phosphogluconate dehydratase
